iter	Passed	Remaining
252	850	2510
253	853	2506
254	856	2502
255	859	2496
256	861	2489
257	864	2485
258	867	2481
259	870	2476
260	872	2470
261	875	2466
262	877	2459
263	879	2451
264	881	2446
265	884	2440
266	886	2433
267	888	2425
268	889	2417
269	892	2411
270	894	2406
271	896	2400
272	899	2396
273	901	2388
274	903	2382
275	906	2377
276	908	2370
277	910	2365
278	914	2362
279	916	2357
280	919	2352
281	921	2346
282	924	2342
283	927	2337
284	929	2332
285	933	2329
286	934	2321
287	937	2318
288	940	2314
289	943	2310
290	946	2305
291	948	2299
292	950	2293
293	952	2287
294	955	2282
295	957	2277
296	960	2272
297	962	2267
298	966	2265
299	969	2261
300	971	2257
301	974	2251
302	976	2247
303	980	2244
304	983	2240
305	985	2236
306	989	2232
307	991	2228
308	993	2222
309	996	2218
310	999	2213
311	1001	2208
312	1005	2206
313	1008	2203
314	1011	2198
315	1014	2196
316	1017	2192
317	1020	2187
318	1021	2181
319	1024	2176
320	1026	2170
321	1028	2165
322	1029	2158
323	1031	2152
324	1034	2148
325	1037	2144
326	1040	2142
327	1043	2137
328	1046	2134
329	1049	2130
330	1052	2127
331	1054	2122
332	1056	2116
333	1058	2111
334	1061	2107
335	1063	2100
336	1064	2094
337	1067	2091
338	1070	2087
339	1073	2082
340	1076	2079
341	1078	2075
342	1080	2070
343	1082	2064
344	1086	2062
345	1089	2058
346	1091	2054
347	1094	2050
348	1096	2046
349	1099	2041
350	1101	2037
351	1104	2033
352	1106	2028
353	1108	2023
354	1110	2018
355	1112	2013
356	1115	2009
357	1118	2005
358	1121	2002
359	1124	1999
360	1128	1998
361	1131	1994
362	1134	1991
363	1137	1986
364	1139	1982
365	1143	1981
366	1146	1978
367	1150	1976
368	1154	1973
369	1158	1971
370	1160	1968
371	1164	1965
372	1167	1962
373	1170	1959
374	1172	1954
375	1175	1950
376	1177	1946
377	1180	1942
378	1183	1938
379	1185	1934
380	1187	1929
381	1190	1926
382	1193	1922
383	1196	1919
384	1199	1915
385	1202	1912
386	1204	1908
387	1206	1903
388	1208	1898
389	1211	1894
390	1213	1889
391	1214	1884
392	1217	1880
393	1219	1876
394	1222	1872
395	1224	1868
396	1227	1864
397	1229	1860
398	1233	1857
399	1236	1854
400	1239	1850
401	1241	1847
402	1244	1843
403	1247	1840
404	1249	1836
405	1251	1831
406	1254	1827
407	1256	1822
408	1258	1817
409	1260	1813
410	1263	1810
411	1265	1806
412	1268	1802
413	1271	1799
414	1274	1795
415	1277	1792
416	1280	1789
417	1282	1786
418	1285	1782
419	1287	1777
420	1289	1773
421	1292	1770
422	1295	1766
423	1297	1762
424	1300	1759
425	1304	1757
426	1307	1754
427	1310	1751
428	1313	1747
429	1316	1745
430	1319	1742
431	1322	1738
432	1325	1736
433	1328	1732
434	1332	1730
435	1335	1727
436	1338	1723
